ref id,title,exact date,mint date,compressed,image,marketplace,available,burned,high res image,detail page,contract,series,category,chain,type,total qty,metadata,notes,exhibited,description
109,The Source (SOL),1/16/2024,January 2024,https://images-cdn.exchange.art/R8Jlugmq-BlMAIzyORACoYaKwPmxsb1B3ZNEFw01h4k?ext=fastly&optimize=medium,,https://exchange.art/editions/54923yrZxhrU9UwBW9nbFFRPaDScJuoyd1sLrTUf8Uy2,https://exchange.art/editions/54923yrZxhrU9UwBW9nbFFRPaDScJuoyd1sLrTUf8Uy2,No,,,Alternate Visions,,ai-assisted,solana,Edition,10,arweave,,,
110,pickle,1/12/2024,January 2024,https://raw.seadn.io/files/f0777bc47c74591955c234337ba35fb4.svg,,https://foundation.app/mint/eth/0x11376B018c990a1066879275f8Be50aCEF498dAd/5,,No,,,TheBenMeadows On-Chain,,vector art,ethereum,1 of 1,1,on-chain,my seventh on-chain nft,,
111,Passing Through,1/14/2024,January 2024,https://i.seadn.io/s/raw/files/43166254e4941ddfebf61b9c4a5068bf.jpg?auto=format&dpr=1&w=640,,https://foundation.app/mint/eth/0xD410F741eB6f1F26796dc7629c2CF039Ff975FdD/36,https://foundation.app/mint/eth/0xD410F741eB6f1F26796dc7629c2CF039Ff975FdD/36,No,,,TheBenMeadows (Acheiropoieta),,ai-assisted,ethereum,1 of 1,1,arweave,"part of Dimensions DAO's ""Links Between Worlds""","Florence, Italy",
112,tilt,1/22/2024,January 2024,https://raw.seadn.io/files/54f99b28b22c87564de5326b0639c54e.svg,,https://foundation.app/mint/eth/0x11376B018c990a1066879275f8Be50aCEF498dAd/6,,No,,,TheBenMeadows On-Chain,,vector art,ethereum,1 of 1,1,on-chain,my eighth on-chain nft,,
113,Eccentrics (Collection),2/20/2024,February 2024,https://i.seadn.io/s/raw/files/25b3e84df3425ab59c141def09303ea1.jpg?auto=format&dpr=1&w=640,,https://highlight.xyz/mint/65d4fc45255116968960a3ec/marketplace,,No,,,Eccentrics,,ai-assisted,base,1of1ofX,70,arweave,,,
114,Genesis Catalog Token,3/7/2024,March 2024,https://arweave.net/9KW6I_ms1P5uT42moRfydC_nm9SIvNBximdzi3UG6Co,,https://launchpad.transientlabs.xyz/nfts/arbitrum/0xf41c8454469829a0248f6bd95c0b0c6cf95a57ad/1,,No,,,Genesis Catalog Token,,photography,arbitrum,1 of 1,1,arweave,randomly displays one of five images when loaded,,
115,Based Blue Death,4/25/2024,April 2024,https://i.seadn.io/s/raw/files/9af28a1838311ed621a7716a0d9306d2.gif?auto=format&dpr=1&w=1000,,https://foundation.app/mint/base/0xa6a0eb9F26481D155D5F1510CA8c16BB24D2351F,,No,https://arweave.net/mKcZbfgiruSO31Qg1d5ONHaqdtK8OOcuzJJRZcu1LmI,,Based Blue Death,,ai-assisted,base,Edition,10,ipfs,"part of The Builders DAO's ""Builders Base"" exhibition",,
120,westward,6/23/2024,June 2024,https://raw.seadn.io/files/49be9646b8b4bd77e6be7a03efe4cdff.svg,,https://foundation.app/mint/eth/0x11376B018c990a1066879275f8Be50aCEF498dAd/7,,No,,,TheBenMeadows On-Chain,,vector art,ethereum,1 of 1,1,on-chain,my ninth on-chain nft,,
121,entropy,6/23/2024,June 2024,https://raw.seadn.io/files/21d1e60af5e988668fe141c9e44cd49f.svg,,https://foundation.app/mint/eth/0x11376B018c990a1066879275f8Be50aCEF498dAd/8,,No,,,TheBenMeadows On-Chain,,vector art,ethereum,1 of 1,1,on-chain,my tenth on-chain nft,,
122,Arizona Twilight,7/24/2024,July 2024,https://raw.seadn.io/files/5087d81807d04db6bfebe5d317911583.jpg?auto=format&dpr=1&w=640,https://ipfs.io/ipfs/QmTVLrvr72hQUcFrxoQZAbXPqdVgffeQRLiu1XA2fiuryC/media,https://www.transient.xyz/nfts/ethereum/0x805732808bd9fbd6521067d266be3e23ed614aec/1,https://foundation.app/mint/eth/0x805732808BD9fBD6521067D266Be3e23eD614AEc/1,No,,,TheBenMeadows Photography Vol. 2,Daily Muse,photography,ethereum,1 of 1,1,ipfs,my first ERC-7160,"Ghent, Belgium",
